Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2020-11-30,24.07999992,24.72999954,22.79000092,24.15999985,704500,0,0,PTGX
2020-12-01,24.01499939,24.89999962,22.89999962,23.17000008,405200,0,0,PTGX
2020-12-02,23.45000076,23.45000076,21.51000023,21.98999977,239400,0,0,PTGX
2020-12-03,21.68000031,22.8560009,21.04000092,21.29999924,235900,0,0,PTGX
2020-12-04,21.29000092,22.40999985,21.06999969,22.40500069,293500,0,0,PTGX
2020-11-30,69.41000366,69.55000305,68.63999939,68.88999939,1741000,0.14,0,SSNC
2020-12-01,69.26999664,70.22000122,68.41999817,69.77999878,1118600,0,0,SSNC
2020-12-02,69.54000092,70.40000153,69.01000214,70.01999664,697500,0,0,SSNC
2020-12-03,70.12999725,70.98000336,69.61000061,70.19999695,644100,0,0,SSNC
2020-12-04,70.11000061,71.68000031,70.11000061,71.12999725,826900,0,0,SSNC
2020-12-02,15.630000114440918,15.890000343322754,15.569999694824219,15.760000228881836,3174000,0,0,GPK
2020-12-03,15.779999732971191,15.970000267028809,15.680000305175781,15.829999923706055,3321300,0,0,GPK
2020-12-04,15.930000305175781,16.190000534057617,15.899999618530273,16.190000534057617,2590200,0,0,GPK
2020-12-07,16.219999313354492,16.219999313354492,15.960000038146973,16.09000015258789,1422000,0,0,GPK
2020-12-08,15.970000267028809,16.25,15.970000267028809,16.219999313354492,1864884,0,0,GPK
